Names,Runs,Innings,Average
" Zahid Hussain
",9,2,9.00
"Damodar Daesrath
",95,4,31.66
"Jeremy Gordon
",7,5,3.50
"Darren Ramsammy 
",0,1,0.00
" Zeeshan Siddiqi
",50,2,25.00
"Nikhil Dutta
",–,1,–
" Raza-ur-Rehman
",225,6,45.00
"Rayyan Pathan
",2,1,2.00
"Kenneth Kamyuka
",2,2,2.00
"Frasat Ali
","57
","3
","19.00
"
"Harilal Shah 
","6
","3
","2.00
"
"Jawahir Shah
","46
","3
","15.33
"
"Hamish McLeod 
","5
","2
","2.50
"
"Mehmood Quaraishy
","41
","3
","20.50
"
"John Nagenda
","–
","1
","–
"
"Parbhu Nana
","9
","3
","9.00
"
"Ramesh Sethi
","54
","3
","18.00
"
"Shiraz Sumar
","4
","1
","4.00
"
"Samuel Walusimbi
","38
","3
","12.66
"
"Zulfiqar Ali
","39
","3
","19.50
"
"Praful Mehta 
","12
","1
","12.00
"
"Donald Pringle
","5
","2
","2.50
"
"Yunus Badat
","1
","2
","0.50
"
"Geoffrey Boycott 
","1,082",36,36.06
"Colin Cowdrey
",1,1,1.00
"Basil D'Oliveira
",30,4,10.00
"John Edrich 
",223,7,37.16
"Keith Fletcher 
",757,24,39.84
"John Hampshire
",48,3,24.00
"Ray Illingworth 
",5,3,2.50
"Alan Knott 
",200,20,20.00
"Peter Lever
",17,10,17.00
"Ken Shuttleworth
",7,1,7.00
"John Snow
",9,9,4.50
"Dennis Amiss
",859,18,47.72
"Geoff Arnold
",48,14,16.00
"Brian Close 
",49,3,16.33
"Tony Greig 
",269,22,16.81
"Bob Woolmer
",21,6,5.25
"Barry Wood
",314,13,31.40
"Frank Hayes
",128,6,25.60
"Graham Roope
",173,8,21.62
"Derek Underwood
",53,26,5.88
"Mike Denness 
",264,12,29.33
"Mike Hendrick
",6,22,1.20
"Chris Old
",338,32,18.77
"Mike Smith
",70,5,31.65
"Bob Taylor 
",130,27,13.00
"Bob Willis 
",83,64,10.37
"John Jameson
",60,3,20.00
"David Lloyd
",285,8,40.71
"Robin Jackman
",54,15,6.75
"Brian Luckhurst
",15,3,5.00
"Fred Titmus
",11,2,11.00
"Graham Barlow
",149,6,29.80
"Ian Botham 
","2,113",116,23.21
"Graham Gooch 
","4,290",125,36.98
"John Lever
",56,22,8.00
"David Steele
",8,1,8.00
"Derek Randall
","1,067",49,26.67
"Mike Brearley 
",510,25,24.28
"Peter Willey
",538,26,23.39
"Geoff Miller
",136,25,8.50
"Paul Downton 
",242,28,16.13
"Phil Edmonds
",116,29,10.54
"Mike Gatting 
","2,095",92,29.50
"Brian Rose
",99,2,49.50
"Geoff Cope
",1,2,–
"David Gower 
","3,170",114,30.77
"Clive Radley
",250,4,83.33
"Roger Tolchard 
",–,1,–
"David Bairstow 
",206,21,14.71
"Wayne Larkins
",591,25,24.62
"Graham Dilley
",114,36,11.40
"John Emburey 
",501,61,14.31
"Graham Stevenson
",43,4,43.00
"Chris Tavaré
",720,29,27.69
"Vic Marks
",285,34,13.57
"Bill Athey
",848,31,31.40
"Alan Butcher
",14,1,14.00
"Roland Butcher
",58,3,19.33
"Geoff Humpage 
",11,3,5.50
"Jim Love
",61,3,20.33
"Geoff Cook
",106,6,17.66
"Jack Richards 
",154,22,11.84
"Paul Allott
",15,13,3.00
"Allan Lamb 
","4,010",122,39.31
"Eddie Hemmings
",30,33,5.00
"Derek Pringle
",425,44,23.61
"Norman Cowans
",13,23,2.60
"Trevor Jesty
",127,10,21.16
"Ian Gould 
",155,18,12.91
"Graeme Fowler 
",744,26,31.00
"Neil Foster
",150,48,11.53
"Chris Smith
",109,4,27.25
"Nick Cook
",–,3,–
"Andy Lloyd
",101,3,33.66
"Richard Ellison
",86,14,10.75
"Tim Robinson
",597,26,22.96
"Jonathan Agnew
",2,3,–
"Chris Cowdrey
",51,3,25.50
"Martyn Moxon
",174,8,21.75
"Bruce French 
",34,13,6.80
"Norman Gifford 
",0,2,0.00
"Colin Wells
",22,2,11.00
"Rob Bailey
",137,4,68.50
"Pat Pocock
",4,1,4.00
"Les Taylor
",1,2,–
"Greg Thomas
",1,3,1.00
"Wilf Slack
",43,2,21.50
"David Smith
",15,2,15.00
"Mark Benson
",24,1,24.00
"Chris Broad
","1,361",34,40.02
"Phillip DeFreitas
",690,103,16.04
"Gladstone Small
",98,53,6.53
"David Capel
",327,23,19.23
"Neil Fairbrother
","2,092",75,39.47
"James Whitaker
",48,2,48.00
"Jack Russell 
",423,40,17.62
"Paul Jarvis
",31,16,5.16
"Neal Radford
",0,6,0.00
